                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.60175,                 1.2573,                 0.5949,                 1.0125,                0.85527,                0.74766,                0.84692,                0.64477,                0.84976,                0.74002,                0.81094,                0.60305,                0.81326,                 1.6998,                0.78421,                 1.1697,              0.0012377,              0.0012377,              0.0012377
                     79,                0.60859,                 1.2894,                0.61599,                 1.0214,                0.82746,                0.76636,                 0.8429,                0.65116,                0.83198,                0.74043,                0.81093,                0.59897,                0.82677,                 1.7683,                0.77973,                 1.1682,              0.0012278,              0.0012278,              0.0012278
                     80,                0.59896,                 1.2362,                0.58312,                 1.0145,                0.84899,                0.73364,                0.83515,                0.62428,                0.80904,                 0.7523,                0.80479,                0.58477,                0.91552,                 1.9048,                 0.8368,                 1.2707,              0.0012179,              0.0012179,              0.0012179
                     81,                0.61577,                 1.2703,                0.60783,                 1.0128,                0.86321,                0.73719,                0.83987,                0.62433,                 0.8772,                0.69159,                0.79364,                0.57809,                0.93207,                 2.0268,                0.81564,                 1.3212,               0.001208,               0.001208,               0.001208
                     82,                 0.6034,                 1.2706,                 0.6221,                 1.0204,                0.84999,                0.77103,                0.84709,                0.63462,                0.91123,                0.71952,                0.81721,                0.60517,                0.83717,                  1.734,                0.75508,                 1.2159,              0.0011981,              0.0011981,              0.0011981
                     83,                0.59637,                  1.214,                0.60054,                 1.0218,                0.85298,                0.75912,                0.83764,                 0.6277,                0.84238,                0.74922,                  0.812,                0.58219,                 0.8409,                  1.713,                0.76785,                 1.2212,              0.0011882,              0.0011882,              0.0011882
                     84,                0.56211,                 1.1567,                0.58083,                0.99599,                0.89262,                0.78505,                0.84629,                0.63964,                  0.882,                 0.7757,                0.81171,                0.59674,                0.81687,                 1.6999,                0.75285,                 1.1796,              0.0011783,              0.0011783,              0.0011783
                     85,                 0.6173,                  1.315,                0.60407,                 1.0176,                0.88427,                0.74978,                0.84165,                0.62993,                0.87331,                0.74087,                0.80911,                0.58637,                0.86691,                 1.7175,                0.80919,                 1.2358,              0.0011684,              0.0011684,              0.0011684
                     86,                0.56621,                 1.1987,                0.57698,                0.99161,                0.83927,                0.79439,                0.86861,                0.68268,                 0.8339,                0.78972,                0.84271,                0.63373,                 0.7485,                 1.6045,                0.70764,                 1.1324,              0.0011585,              0.0011585,              0.0011585
                     87,                0.60736,                 1.3182,                0.59843,                 1.0229,                0.86743,                0.79495,                 0.8734,                0.67224,                0.85213,                0.78093,                0.84688,                0.62288,                0.79992,                 1.6066,                0.68925,                 1.1778,              0.0011486,              0.0011486,              0.0011486
                     88,                  0.587,                 1.2713,                 0.5838,                 1.0051,                0.82972,                0.78037,                0.83692,                0.64038,                0.81481,                0.76636,                0.80509,                0.59558,                0.82747,                 1.9198,                0.76374,                 1.2188,              0.0011387,              0.0011387,              0.0011387
                     89,                0.58076,                 1.2281,                0.56311,                 1.0126,                0.87521,                0.75378,                0.83795,                0.66012,                0.86227,                0.76062,                0.80296,                0.61624,                0.76755,                  1.712,                0.71124,                  1.136,              0.0011288,              0.0011288,              0.0011288
                     90,                0.57458,                 1.1449,                0.55283,                 1.0185,                0.84437,                0.78505,                0.85584,                0.65897,                0.88375,                0.74604,                0.80525,                0.62025,                0.78289,                 1.5966,                0.73548,                 1.1556,              0.0011189,              0.0011189,              0.0011189
                     91,                0.54562,                 1.1573,                0.55073,                 0.9901,                0.83066,                0.80227,                0.85716,                0.67363,                0.84984,                0.78505,                0.83725,                0.62774,                0.76809,                 1.6954,                 0.7111,                 1.1639,               0.001109,               0.001109,               0.001109
                     92,                0.59739,                 1.2336,                0.56081,                 1.0025,                0.82398,                 0.7757,                0.83952,                0.64794,                0.84484,                0.73789,                0.79494,                0.60983,                0.79901,                 1.7961,                0.79985,                 1.1704,              0.0010991,              0.0010991,              0.0010991
                     93,                0.56267,                 1.1225,                0.56418,                0.98555,                0.86716,                0.75234,                0.83371,                0.62986,                   0.86,                0.71495,                0.78368,                0.59237,                0.88804,                 1.8111,                0.77405,                 1.2744,              0.0010892,              0.0010892,              0.0010892
                     94,                0.55935,                  1.165,                0.54366,                0.99131,                0.87317,                0.75701,                0.84312,                0.63186,                0.86254,                0.73307,                0.79727,                0.60684,                0.88153,                 1.7752,                0.78966,                 1.2612,              0.0010793,              0.0010793,              0.0010793
                     95,                0.55068,                 1.1145,                 0.5363,                 0.9804,                0.83768,                0.78505,                0.83669,                 0.6413,                0.82273,                0.77103,                 0.8047,                0.60214,                0.84363,                 1.7399,                0.76802,                 1.2427,              0.0010694,              0.0010694,              0.0010694
                     96,                   0.58,                 1.1781,                0.55907,                 1.0084,                0.83407,                 0.7757,                0.83411,                0.64774,                0.83407,                 0.7757,                  0.816,                0.61291,                0.76167,                 1.5832,                0.74909,                 1.1336,              0.0010595,              0.0010595,              0.0010595
                     97,                0.58076,                 1.1321,                0.56392,                 0.9976,                0.88298,                0.80841,                0.85421,                0.65539,                0.86624,                0.79439,                0.81382,                  0.603,                0.76496,                 1.6898,                0.68939,                 1.1337,              0.0010496,              0.0010496,              0.0010496
                     98,                0.57201,                 1.1538,                0.54228,                0.99807,                0.86777,                0.79732,                0.85086,                0.64185,                0.84188,                0.77103,                0.80507,                0.59739,                0.80084,                 1.6294,                0.71963,                 1.1791,              0.0010397,              0.0010397,              0.0010397
                     99,                0.60351,                 1.1841,                0.56759,                 1.0027,                0.81568,                0.80648,                0.84651,                0.64606,                0.84756,                0.78037,                0.82215,                0.61412,                0.77515,                 1.5575,                0.72019,                 1.1316,              0.0010298,              0.0010298,              0.0010298
                    100,                0.58855,                 1.2145,                0.55923,                  1.007,                 0.8775,                0.75701,                0.84934,                0.63275,                0.85926,                0.74299,                0.80125,                0.59447,                0.78502,                  1.676,                0.71558,                 1.1661,              0.0010199,              0.0010199,              0.0010199
                    101,                0.57239,                 1.1698,                0.57025,                 1.0056,                 0.9065,                0.74299,                0.85096,                0.63905,                0.88348,                 0.7243,                0.80575,                0.61376,                0.78241,                 1.6888,                0.72309,                 1.1973,                0.00101,                0.00101,                0.00101
                    102,                0.55797,                 1.1359,                0.55981,                0.99726,                0.84019,                0.80374,                0.85198,                0.63082,                0.82065,                0.78505,                0.82002,                0.60538,                0.83219,                 1.6722,                0.74251,                 1.2221,              0.0010001,              0.0010001,              0.0010001
                    103,                0.56416,                 1.1422,                0.54065,                 0.9904,                0.91035,                0.75701,                0.86703,                0.64186,                 0.8879,                0.74029,                0.81917,                 0.6137,                0.80988,                 1.6852,                0.71427,                 1.1857,              0.0009902,              0.0009902,              0.0009902
                    104,                 0.5575,                 1.1524,                0.54723,                 1.0122,                  0.897,                0.78037,                0.87484,                0.65405,                0.87953,                0.73832,                0.81753,                0.61459,                0.78999,                 1.7171,                0.70043,                 1.1805,              0.0009803,              0.0009803,              0.0009803
                    105,                0.57958,                 1.1961,                0.56992,                0.98324,                0.84841,                0.79439,                0.87086,                0.67164,                0.83843,                0.78505,                0.83856,                0.62943,                0.75529,                 1.6646,                0.66997,                 1.1316,              0.0009704,              0.0009704,              0.0009704
                    106,                0.56552,                 1.1499,                0.54937,                0.97989,                0.86581,                0.78388,                0.86158,                0.66242,                 0.8456,                 0.7757,                0.82449,                0.61469,                0.75211,                 1.6788,                0.69355,                 1.1398,              0.0009605,              0.0009605,              0.0009605
